stichtag;kreis_id;kreis_name;m�nnlich;m�nnlich;m�nnlich;m�nnlich;m�nnlich;m�nnlich;m�nnlich;m�nnlich;m�nnlich;m�nnlich;m�nnlich;m�nnlich;m�nnlich;m�nnlich;m�nnlich;m�nnlich;m�nnlich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich
stichtag;kreis_id;kreis_name;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr
31.12.2024;01001;Flensburg, kreisfreie Stadt;1244;1310;1716;2043;1359;991;3564;4294;3980;3475;3050;2711;2687;3466;3195;4410;4156;1144;1224;1624;2031;1278;1076;4170;4041;3220;3066;2841;2603;2802;3496;3170;5089;5800
31.12.2024;01002;Kiel, kreisfreie Stadt;3059;3212;4347;5107;3181;2533;9742;12416;11067;9410;7598;6726;7055;8928;7846;11156;10149;3022;3135;4173;4974;3051;2535;11108;12052;9880;8187;7647;6804;7258;8932;8514;12978;14886
31.12.2024;01003;L�beck, kreisfreie Stadt;2587;2701;3902;4794;2983;2199;6141;7646;7443;7115;6529;5776;6578;8527;7950;10818;10620;2316;2438;3540;4410;2721;2033;6597;7432;7074;7058;6796;6501;6860;8762;8360;13233;16449
31.12.2024;01004;Neum�nster, kreisfreie Stadt;1058;1042;1460;1818;1251;962;2430;2761;2740;2711;2451;2311;2548;3277;2973;4167;3782;933;1043;1326;1684;1148;765;2099;2320;2368;2466;2341;2256;2523;3233;3082;4794;5686
31.12.2024;01051;Dithmarschen, Landkreis;1562;1725;2377;3056;1955;1309;3405;3749;3849;3943;3666;3539;4372;5806;5610;8662;7253;1500;1654;2330;2982;1850;1215;3016;3354;3446;3632;3652;3685;4334;5968;5835;9321;9848
31.12.2024;01053;Herzogtum Lauenburg, Landkreis;2603;3167;4493;5274;3207;2124;4809;4888;5662;6723;6757;6131;6606;8903;8199;11329;9926;2488;2944;4312;4978;2970;1965;4248;4465;5678;6762;6978;6579;6971;8903;8347;12322;14524
31.12.2024;01054;Nordfriesland, Landkreis;1935;2309;3195;3912;2423;1737;4243;4767;4989;5034;4970;4477;5320;7276;6914;10491;8964;1918;2165;2925;3624;2264;1513;3687;4151;4493;4983;4970;4865;5853;7808;7708;11761;12385
31.12.2024;01055;Ostholstein, Landkreis;1992;2245;3217;4197;2650;1791;4386;4616;4981;5554;5590;5263;6407;8985;8736;13748;12465;1999;2302;3315;4066;2558;1678;3791;4080;4849;5560;5925;5982;7155;9663;9608;15249;16869
31.12.2024;01056;Pinneberg, Landkreis;4144;4679;6714;8033;5058;3422;8151;8791;9382;10585;10680;10107;10980;13916;12574;16611;15831;3883;4411;6394;7605;4699;3038;7129;7731;8950;10422;11030;10335;11003;14294;13042;18774;22825
31.12.2024;01057;Pl�n, Landkreis;1457;1772;2535;2988;1923;1248;2773;2746;3149;3606;3615;3500;4088;5810;5543;8092;8033;1377;1738;2464;3004;1859;1121;2269;2453;3328;3835;3964;3759;4548;6163;5959;9144;10746
31.12.2024;01058;Rendsburg-Eckernf�rde, Landkreis;3303;4043;5533;6825;4307;2963;6714;6933;7563;8399;8300;7749;8908;12384;11423;16536;14691;3068;3695;5326;6486;3998;2559;5554;5943;7343;8416;8616;8192;9422;13006;12093;18013;19754
