
kreis_id;kreis_name;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag
;;31.12.2020;31.12.2021;31.12.2022;31.12.2023;31.12.2024
01001;Flensburg, kreisfreie Stadt;89934;91113;96217;96431;96326
01002;Kiel, kreisfreie Stadt;246601;246243;250064;251751;252668
01003;L�beck, kreisfreie Stadt;215846;216277;216097;217061;216889
01004;Neum�nster, kreisfreie Stadt;79905;79496;78858;79461;79809
01051;Dithmarschen, Landkreis;133251;133969;133104;133514;133460
01053;Herzogtum Lauenburg, Landkreis;199152;200819;204237;205445;206235
01054;Nordfriesland, Landkreis;167147;167560;168886;170048;170029
01055;Ostholstein, Landkreis;201487;202014;200802;201529;201472
01056;Pinneberg, Landkreis;317085;318326;321849;323762;325223
01057;Pl�n, Landkreis;129353;129687;130494;130635;130609
01058;Rendsburg-Eckernf�rde, Landkreis;274765;276053;276964;277888;278058
01059;Schleswig-Flensburg, Landkreis;202647;203799;204255;204761;205472
01060;Segeberg, Landkreis;278007;280400;279922;282268;283562
01061;Steinburg, Landkreis;130706;130843;131712;132447;132731
01062;Stormarn, Landkreis;244989;245406;245822;246201;246974
02000;Hamburg, kreisfreie Stadt;1852478;1853935;1832675;1851596;1862565
03101;Braunschweig, kreisfreie Stadt;248561;248823;253194;253527;252962
03102;Salzgitter, kreisfreie Stadt;103866;103694;104564;105056;104970
03103;Wolfsburg, kreisfreie Stadt;123840;123949;127990;129347;129560
03151;Gifhorn, Landkreis;177227;177919;175361;175876;175943
03152;G�ttingen, Landkreis (bis 31.10.2016);-;-;-;-;-
03153;Goslar, Landkreis;134688;134050;127856;127712;126775
03154;Helmstedt, Landkreis;91518;91379;90985;90692;90227
03155;Northeim, Landkreis;131772;131765;126598;126310;125623
03156;Osterode am Harz, Landkreis (bis 31.10.2016);-;-;-;-;-
03157;Peine, Landkreis;135844;136960;136719;136983;137045
03158;Wolfenb�ttel, Landkreis;119361;119224;118296;118540;118290
03159;G�ttingen, Landkreis;323900;323661;328039;328657;328028
03201;Hannover, kreisfreie Stadt (bis 31.10.2001);-;-;-;-;-
03241;Region Hannover, Landkreis;1155330;1157541;1134284;1138943;1140888
03251;Diepholz, Landkreis;218072;218839;219641;220743;221202
03252;Hameln-Pyrmont, Landkreis;148580;148963;150717;150535;150203
03253;Hannover, Landkreis (bis 31.10.2001);-;-;-;-;-
03254;Hildesheim, Landkreis;275464;274773;268062;268318;267506
03255;Holzminden, Landkreis;70207;69862;66288;66088;65581
03256;Nienburg (Weser), Landkreis;121645;121773;121295;121723;121468
03257;Schaumburg, Landkreis;158406;158108;156747;157051;156841
03351;Celle, Landkreis;179386;179915;172477;172871;172449
03352;Cuxhaven, Landkreis;198826;199603;198898;199390;198842
03353;Harburg, Landkreis;256016;257548;262954;264767;265864
03354;L�chow-Dannenberg, Landkreis;48503;48472;46791;46815;46502
03355;L�neburg, Landkreis;184235;185129;178099;179403;179448
03356;Osterholz, Landkreis;114640;115054;113800;113784;113598
03357;Rotenburg (W�mme), Landkreis;164486;165001;164657;165561;165904
03358;Heidekreis;140885;142912;143728;141627;141321
03359;Stade, Landkreis;205357;206496;206375;207659;207700
03360;Uelzen, Landkreis;92566;92894;91059;91832;91638
03361;Verden, Landkreis;137574;138507;137793;138273;138626
03401;Delmenhorst, kreisfreie Stadt;77503;77522;81148;81746;81406
03402;Emden, kreisfreie Stadt;49874;49523;49563;49701;49202
03403;Oldenburg (Oldenburg), kreisfreie Stadt;169605;170389;174445;176242;176614
03404;Osnabr�ck, kreisfreie Stadt;164223;165034;165741;165686;166057
03405;Wilhelmshaven, kreisfreie Stadt;75189;75027;75860;76010;75745
03451;Ammerland, Landkreis;125643;126475;126390;127292;127751
03452;Aurich, Landkreis;190178;190425;188402;188960;188816
03453;Cloppenburg, Landkreis;172632;173980;175549;176540;177025
03454;Emsland, Landkreis;328930;331397;331711;334203;334539
03455;Friesland, Landkreis;98971;98971;100089;100461;100411
03456;Grafschaft Bentheim, Landkreis;137891;138722;143472;144212;144543
03457;Leer, Landkreis;171483;172421;169390;169111;169103
03458;Oldenburg, Landkreis;131467;132091;131228;131965;132008
03459;Osnabr�ck, Landkreis;359471;361550;356060;356194;354821
03460;Vechta, Landkreis;143698;144805;145552;146400;146539
03461;Wesermarsch, Landkreis;88524;88430;89127;89316;88936
03462;Wittmund, Landkreis;57384;57455;55953;56013;55969
04011;Bremen, kreisfreie Stadt;566573;563290;576947;584332;586271
04012;Bremerhaven, kreisfreie Stadt;113557;113173;118811;118323;118610
05111;D�sseldorf, kreisfreie Stadt;620523;619477;614399;616319;618685
05112;Duisburg, kreisfreie Stadt;495885;495152;501671;503185;502270
05113;Essen, kreisfreie Stadt;582415;579432;572237;574082;574682
05114;Krefeld, kreisfreie Stadt;226844;227050;230375;230393;231406
05116;M�nchengladbach, kreisfreie Stadt;259665;261001;267333;267667;267213
05117;M�lheim an der Ruhr, kreisfreie Stadt;170921;170739;172054;172887;173050
05119;Oberhausen, kreisfreie Stadt;209566;208752;213252;213510;213646
05120;Remscheid, kreisfreie Stadt;111516;111770;113731;114061;113828
05122;Solingen, kreisfreie Stadt;159193;158957;165229;166078;165626
05124;Wuppertal, kreisfreie Stadt;355004;354572;358568;358592;358193
05154;Kleve, Landkreis;313586;314676;317411;319928;322018
05158;Mettmann, Landkreis;484322;484411;489246;489760;490910
05162;Rhein-Kreis Neuss;452001;452496;455818;457398;457077
05166;Viersen, Landkreis;298536;298761;295362;297504;297857
05170;Wesel, Landkreis;460113;460433;455854;457545;457918
05313;Aachen, kreisfreie Stadt (bis 20.10.2009);-;-;-;-;-
05314;Bonn, kreisfreie Stadt;330579;331885;322221;321680;323336
05315;K�ln, kreisfreie Stadt;1083498;1073096;1021253;1024408;1024621
05316;Leverkusen, kreisfreie Stadt;163905;163851;167174;167850;168581
05334;St�dteregion Aachen, Landkreis;556631;556673;580359;582463;582410
05354;Aachen, Landkreis (bis 20.10.2009);-;-;-;-;-
05358;D�ren, Landkreis;265140;266771;276675;278462;279285
