stichtag;kreis_id;kreis_name_x;pkw_benzin;pkw_diesel;pkw_gas;pkw_elektrisch;pkw_hybrid;pkw_plugin;pkw_sonstige;pkw_gesamt;jahr;e_auto_quote;kreis_name_y;bev_total;Arbeitnehmerentgelt_insgesamt_Anteil_am_Land_in;Arbeitnehmerentgelt_Land_und_Forstwirtschaft_Fischerei_in_Mio_EUR;Arbeitnehmerentgelt_Produzierendes_Gewerbe_in_Mio_EUR;Arbeitnehmerentgelt_Produzierendes_Gewerbe_ohne_Baugewerbe_in_Mio_EUR;Arbeitnehmerentgelt_Verarbeitendes_Gewerbe_in_Mio_EUR;Arbeitnehmerentgelt_Baugewerbe_in_Mio_EUR;Arbeitnehmerentgelt_Dienstleistungsbereiche_in_Mio_EUR;Arbeitnehmerentgelt_Handel_Verkehr_und_Lagerei_Gastgewerbe_Information_und_Kommunikation_in_Mio_EUR;Arbeitnehmerentgelt_Handel_Verkehr_und_Lagerei_Gastgewerbe_in_Mio_EUR;Arbeitnehmerentgelt_Information_und_Kommunikation_in_Mio_EUR;Arbeitnehmerentgelt_Finanz_Versicherungs_und_Unternehmensdienstleistungen_Grundstuecks_u_Wohnungswesen_in_Mio_EUR;Arbeitnehmerentgelt_Finanz_Versicherungsdienstleistungen_in_Mio_EUR;Arbeitnehmerentgelt_Grundstuecks_und_Wohnungswesen_in_Mio_EUR;Arbeitnehmerentgelt_Unternehmensdienstleistungen_in_Mio_EUR;Arbeitnehmerentgelt_Oeffentliche_und_sonstige_Dienstleistungen_Erziehung_und_Gesundheit_in_Mio_EUR;Arbeitnehmerentgelt_Oeffentliche_Dienstleistungen_Erziehung_Gesundheit_in_Mio_EUR;Arbeitnehmerentgelt_Sonstige_Dienstleistungen_in_Mio_EUR;Bruttoloehne_und_gehaelter_insgesamt_in_Mio_EUR;Bruttoloehne_und_gehaelter_insgesamt_Veraenderung_gegenueber_dem_Vorjahr_in;Bruttoloehne_und_gehaelter_insgesamt_Anteil_am_Land_in;Bruttoloehne_und_gehaelter_Land_und_Forstwirtschaft_Fischerei_in_Mio_EUR;Bruttoloehne_und_gehaelter_Produzierendes_Gewerbe_in_Mio_EUR;Bruttoloehne_und_gehaelter_Produzierendes_Gewerbe_ohne_Baugewerbe_in_Mio_EUR;Bruttoloehne_und_gehaelter_Verarbeitendes_Gewerbe_in_Mio_EUR;Bruttoloehne_und_gehaelter_Baugewerbe_in_Mio_EUR;Bruttoloehne_und_gehaelter_Dienstleistungsbereiche_in_Mio_EUR;Bruttoloehne_und_gehaelter_Handel_Verkehr_und_Lagerei_Gastgewerbe_Information_und_Kommunikation_in_Mio_EUR;Bruttoloehne_und_gehaelter_Finanz_Versicherungs_und_Unternehmensdienstleistungen_Grundstuecks_u_Wohnungswesen_in_Mio_EUR;Bruttoloehne_und_gehaelter_Oeffentliche_und_sonstige_Dienstleistungen_Erziehung_und_Gesundheit_in_Mio_EUR;Arbeitnehmerinnen_und_Arbeitnehmer_insgesamt_in_1000_Personen;Arbeitnehmerinnen_und_Arbeitnehmer_Land_und_Forstwirtschaft_Fischerei_in_1000_Personen;Arbeitnehmerinnen_und_Arbeitnehmer_Produzierendes_Gewerbe_in_1000_Personen;Arbeitnehmerinnen_und_Arbeitnehmer_Produzierendes_Gewerbe_ohne_Baugewerbe_in_1000_Personen;Arbeitnehmerinnen_und_Arbeitnehmer_Verarbeitendes_Gewerbe_in_1000_Personen;Arbeitnehmerinnen_und_Arbeitnehmer_Baugewerbe_in_1000_Personen;Arbeitnehmerinnen_und_Arbeitnehmer_Dienstleistungsbereiche_in_1000_Personen;Arbeitnehmerinnen_und_Arbeitnehmer_Handel_Verkehr_und_Lagerei_Gastgewerbe_Information_und_Kommunikation_in_1000_Personen;Arbeitnehmerinnen_und_Arbeitnehmer_Finanz_Versicherungs_und_Unternehmensdienstleistungen_Grundstuecks_u_Wohnungswesen_in_1000_Personen;Arbeitnehmerinnen_und_Arbeitnehmer_Oeffentliche_und_sonstige_Dienstleistungen_Erziehung_und_Gesundheit_in_1000_Personen;Arbeitnehmerentgelt_je_Arbeitnehmerin_bzw_Arbeitnehmer_insgesamt_in_EUR;Bruttoloehne_und_gehaelter_je_Arbeitnehmerin_bzw_Arbeitnehmer_insgesamt_in_EUR;Arbeitsvolumen_der_Arbeitnehmerinnen_und_Arbeitnehmer_insgesamt_in_Mio_Arbeitsstunden;Arbeitsvolumen_der_Arbeitnehmerinnen_und_Arbeitnehmer_Land_und_Forstwirtschaft_Fischerei_in_Mio_Arbeitsstunden;Arbeitsvolumen_der_Arbeitnehmerinnen_und_Arbeitnehmer_Produzierendes_Gewerbe_in_Mio_Arbeitsstunden;Arbeitsvolumen_der_Arbeitnehmerinnen_und_Arbeitnehmer_Produzierendes_Gewerbe_ohne_Baugewerbe_in_Mio_Arbeitsstunden;Arbeitsvolumen_der_Arbeitnehmerinnen_und_Arbeitnehmer_Verarbeitendes_Gewerbe_in_Mio_Arbeitsstunden;Arbeitsvolumen_der_Arbeitnehmerinnen_und_Arbeitnehmer_Baugewerbe_in_Mio_Arbeitsstunden;Arbeitsvolumen_der_Arbeitnehmerinnen_und_Arbeitnehmer_Dienstleistungsbereiche_in_Mio_Arbeitsstunden;Arbeitsvolumen_der_Arbeitnehmerinnen_und_Arbeitnehmer_Handel_Verkehr_und_Lagerei_Gastgewerbe_Information_und_Kommunikation_in_Mio_Arbeitsstunden;Arbeitsvolumen_der_Arbeitnehmerinnen_und_Arbeitnehmer_6_4_2_Finanz_Versicherungs_und_Unternehmensdienstleister_Grundstuecks_u_Wohnungswesen_in_Mio_Arbeitsstunden;Arbeitsvolumen_der_Arbeitnehmerinnen_und_Arbeitnehmer_Oeffentliche_und_sonstige_Dienstleistungen_Erziehung_und_Gesundheit_in_Mio_Arbeitsstunden;Arbeitnehmerentgelt_je_Arbeitsstunde_der_Arbeitnehmerinnen_und_Arbeitnehmer_insgesamt_in_EUR;Bruttoloehne_und_gehaelter_je_Arbeitsstunde_der_Arbeitnehmerinnen_und_Arbeitnehmer_insgesamt_in_EUR;entgelt_gesamt_mio;lohn_gesamt_mio;entgelt_pro_arb;lohn_pro_arb;entgelt_pro_stunde;lohn_pro_stunde;anteil_dl_besch;anteil_pg_besch;anteil_vg_besch;arbeitsstunden_pro_arb;lohn_wachstum;pkw_pro_1000;anteil_18_35;anteil_65_plus
01.01.2021;01001;Flensburg, kreisfreie Stadt;27101.0;16459.0;251.0;321.0;613.0;266.0;18.0;45029.0;2021;0.007128739256923316;Flensburg, kreisfreie Stadt;91113.0;4.3;1.0;430.0;377.0;293.0;52.0;;556.0;;;319.0;;;;;;;;3.6;4.3;1.0;354.0;310.0;243.0;44.0;;468.0;267.0;811.0;56.1;0.0;8.0;6.8;5.3;1.3;48.1;15.9;7.7;24.4;;;72.4;0.0;11.8;9.9;7.7;1.9;60.6;19.0;10.1;31.4;32.22;26.26;;;;;32.22;26.26;0.857397504456328;0.14260249554367202;0.0944741532976827;1.2905525846702317;3.6;494.2104858801708;0.2630234827564728;0.2019703922097876
01.01.2021;01002;Kiel, kreisfreie Stadt;72647.0;35631.0;753.0;782.0;1716.0;655.0;19.0;112203.0;2021;0.006969510619145656;Kiel, kreisfreie Stadt;246243.0;14.3;1.0;;;;184.0;;;;;;;;;;;;;3.5;14.2;1.0;;;906.0;155.0;;;;;166.7;0.0;21.9;17.5;15.7;4.4;144.7;36.0;32.8;75.9;;;219.1;0.0;31.7;25.1;22.5;6.6;187.4;44.5;42.6;100.2;35.46;28.76;;;;;35.46;28.76;0.8680263947210558;0.131373725254949;0.09418116376724656;1.3143371325734854;3.5;455.6596532693315;0.28231909066442923;0.19459923694334066
01.01.2021;01003;LÃ¼beck, kreisfreie Stadt;67458.0;30349.0;809.0;608.0;1304.0;602.0;11.0;101141.0;2021;0.006011409814022009;Lï¿½beck, kreisfreie Stadt;216277.0;10.2;4.0;;;;218.0;;;;;823.0;;;;;;;;2.8;10.2;4.0;;;;184.0;;944.0;688.0;;123.7;0.2;25.6;20.5;18.7;5.1;97.9;30.4;21.3;46.3;;;163.3;0.2;37.4;29.7;26.9;7.7;125.6;38.9;27.4;59.3;33.82;27.8;;;;;33.82;27.8;0.7914308811641068;0.20695230396119646;0.1511721907841552;1.3201293451899758;2.8;467.6456581143626;0.21469507443899874;0.2356966005652661
01.01.2021;01004;NeumÃ¼nster, kreisfreie Stadt;27485.0;14217.0;321.0;408.0;580.0;216.0;7.0;43234.0;2021;0.009437017162418466;Neumï¿½nster, kreisfreie Stadt;79496.0;4.0;18.0;501.0;380.0;326.0;121.0;;598.0;;;401.0;;;;637.0;;;;4.8;4.0;15.0;415.0;313.0;271.0;102.0;;504.0;338.0;506.0;50.9;0.4;9.2;6.3;5.5;2.9;41.3;16.2;9.6;15.5;;;67.4;0.6;13.3;9.2;7.8;4.2;53.5;20.9;12.8;19.9;31.95;26.37;;;;;31.95;26.37;0.8113948919449901;0.18074656188605107;0.10805500982318271;1.3241650294695482;4.8;543.8512629566268;0.20605445501133957;0.23091380671352854
01.01.2021;01051;Dithmarschen, Landkreis;48973.0;32253.0;515.0;504.0;719.0;204.0;21.0;83189.0;2021;0.0060584933104136365;Dithmarschen, Landkreis;133969.0;4.1;55.0;662.0;482.0;407.0;180.0;;467.0;;;207.0;;;;806.0;;;;3.2;4.0;47.0;548.0;396.0;338.0;152.0;;389.0;173.0;645.0;55.4;2.3;12.5;8.2;7.3;4.3;40.6;14.5;5.3;20.8;;;70.9;3.2;18.0;11.6;10.2;6.4;49.8;17.6;6.5;25.7;30.99;25.41;;;;;30.99;25.41;0.7328519855595669;0.2256317689530686;0.13176895306859207;1.2797833935018053;3.2;620.9570870873113;0.17490633897797092;0.262880263749438
01.01.2021;01053;Herzogtum Lauenburg, Landkreis;76002.0;40011.0;1054.0;795.0;1248.0;520.0;17.0;119647.0;2021;0.006644546039599823;Herzogtum Lauenburg, Landkreis;200819.0;4.8;25.0;782.0;599.0;520.0;182.0;;507.0;;;376.0;;;;919.0;;;;4.8;4.8;21.0;649.0;495.0;432.0;154.0;;427.0;312.0;735.0;64.0;1.2;14.5;10.2;8.9;4.4;48.3;15.6;8.6;24.1;;;81.4;1.5;21.0;14.7;12.8;6.4;58.8;18.9;10.9;29.0;32.06;26.34;;;;;32.06;26.34;0.7546875;0.2265625;0.1390625;1.271875;4.8;595.7952185799153;0.16407981186510534;0.23323393216476349
01.01.2021;01054;Nordfriesland, Landkreis;61335.0;41097.0;665.0;1118.0;949.0;471.0;40.0;105675.0;2021;0.0105796072864916;Nordfriesland, Landkreis;167560.0;5.8;41.0;678.0;403.0;326.0;275.0;;777.0;;;350.0;;;;;;;;4.4;5.8;35.0;564.0;332.0;271.0;232.0;;652.0;292.0;;82.3;1.9;14.8;8.3;7.1;6.5;65.5;24.4;9.0;32.1;;;107.7;2.4;21.6;11.9;10.1;9.7;83.7;30.3;11.4;42.0;29.32;23.91;;;;;29.32;23.91;0.7958687727825031;0.17982989064398544;0.08626974483596597;1.3086269744835968;4.4;630.6696108856529;0.1739703227096554;0.25643272618200424
01.01.2021;01055;Ostholstein, Landkreis;84881.0;41190.0;925.0;670.0;1152.0;511.0;18.0;129347.0;2021;0.005179865014263957;Ostholstein, Landkreis;202014.0;5.7;25.0;647.0;452.0;363.0;195.0;;763.0;;;324.0;;;;;;;;4.4;5.7;21.0;537.0;373.0;301.0;165.0;;641.0;269.0;;82.6;1.3;14.2;9.6;8.0;4.6;67.2;25.7;8.9;32.6;;;105.1;1.6;20.4;13.5;11.2;6.9;83.1;30.9;10.7;41.5;29.52;24.2;;;;;29.52;24.2;0.8135593220338984;0.17191283292978207;0.09685230024213076;1.2723970944309928;4.4;640.2873068203194;0.14975778271918677;0.28952410260482847
01.01.2021;01056;Pinneberg, Landkreis;120754.0;52584.0;1161.0;1327.0;2730.0;1042.0;36.0;179634.0;2021;0.00738724294955298;Pinneberg, Landkreis;318326.0;9.3;67.0;;;;294.0;;;;;665.0;;;;;;;;3.7;9.4;57.0;;;957.0;248.0;;;552.0;;117.1;2.3;28.7;21.6;19.3;7.1;86.1;35.5;15.7;35.0;;;151.9;3.2;41.5;31.2;27.6;10.3;107.2;44.8;19.7;42.7;33.33;27.46;;;;;33.33;27.46;0.735269000853971;0.24508966695132367;0.16481639624252778;1.2971818958155423;3.7;564.3082877301886;0.17401598287943965;0.227662250209856
01.01.2021;01057;PlÃ¶n, Landkreis;51942.0;27495.0;459.0;550.0;786.0;287.0;12.0;81531.0;2021;0.006745900332388907;Plï¿½n, Landkreis;129687.0;2.6;28.0;333.0;196.0;166.0;137.0;;274.0;;;172.0;;;;598.0;;;;5.2;2.6;24.0;278.0;162.0;138.0;116.0;848.0;231.0;143.0;473.0;39.3;1.2;7.7;4.4;3.9;3.3;30.4;9.7;4.7;16.0;;;47.7;1.5;11.0;6.1;5.3;4.9;35.2;11.1;5.5;18.6;29.46;24.1;;1150.0;;29262.086513994913;29.46;24.1;0.7735368956743003;0.1959287531806616;0.09923664122137404;1.2137404580152673;5.2;628.6751948923177;0.14613847437772282;0.2757466943319373
