kreis_id;kreis_name;bev_total_2024;m_u18;w_u18;m_18_34;w_18_34;m_35_59;w_35_59;m_60_74;w_60_74;m_75plus;w_75plus;bev_18_35;bev_65_plus
01001;Flensburg, kreisfreie Stadt;96326.0;7672.0;7301.0;12829.0;12507.0;15389.0;14808.0;7605.0;8259.0;4156.0;5800.0;25336.0;19455.0
01002;Kiel, kreisfreie Stadt;252668.0;18906.0;18355.0;35758.0;35575.0;39717.0;38828.0;19002.0;21492.0;10149.0;14886.0;71333.0;49169.0
01003;Lï¿½beck, kreisfreie Stadt;216889.0;16967.0;15425.0;23429.0;23136.0;34525.0;35977.0;18768.0;21593.0;10620.0;16449.0;46565.0;51120.0
01004;Neumï¿½nster, kreisfreie Stadt;79809.0;6629.0;6134.0;8893.0;7552.0;13298.0;12819.0;7140.0;7876.0;3782.0;5686.0;16445.0;18429.0
01051;Dithmarschen, Landkreis;133460.0;10675.0;10316.0;12312.0;11031.0;21326.0;21271.0;14272.0;15156.0;7253.0;9848.0;23343.0;35084.0
01053;Herzogtum Lauenburg, Landkreis;206235.0;18744.0;17692.0;17483.0;16356.0;35120.0;36193.0;19528.0;20669.0;9926.0;14524.0;33839.0;48101.0
01054;Nordfriesland, Landkreis;170029.0;13774.0;12896.0;15736.0;13844.0;27077.0;28479.0;17405.0;19469.0;8964.0;12385.0;29580.0;43601.0
01055;Ostholstein, Landkreis;201472.0;14301.0;14240.0;15774.0;14398.0;31799.0;34285.0;22484.0;24857.0;12465.0;16869.0;30172.0;58331.0
01056;Pinneberg, Landkreis;325223.0;28628.0;26992.0;29746.0;26848.0;56268.0;57084.0;29185.0;31816.0;15831.0;22825.0;56594.0;74041.0
01057;Plï¿½n, Landkreis;130609.0;10675.0;10442.0;9916.0;9171.0;20619.0;22269.0;13635.0;15103.0;8033.0;10746.0;19087.0;36015.0
01058;Rendsburg-Eckernfï¿½rde, Landkreis;278058.0;24011.0;22573.0;24173.0;21399.0;45740.0;47652.0;27959.0;30106.0;14691.0;19754.0;45572.0;68994.0
01059;Schleswig-Flensburg, Landkreis;205472.0;18317.0;17019.0;17348.0;16349.0;33106.0;33989.0;21295.0;22351.0;11158.0;14540.0;33697.0;51938.0
01060;Segeberg, Landkreis;283562.0;25013.0;23466.0;26008.0;23166.0;49441.0;50221.0;25631.0;27831.0;13636.0;19149.0;49174.0;64155.0
01061;Steinburg, Landkreis;132731.0;11130.0;10508.0;12351.0;10871.0;22125.0;22260.0;13573.0;14158.0;6590.0;9165.0;23222.0;31796.0
01062;Stormarn, Landkreis;246974.0;22363.0;21271.0;20177.0;18134.0;41915.0;44147.0;22723.0;24616.0;13240.0;18388.0;38311.0;59274.0
02000;Hamburg, kreisfreie Stadt;1862565.0;163638.0;152600.0;221513.0;221010.0;325700.0;325480.0;131033.0;145958.0;70004.0;105629.0;442523.0;336092.0
03101;Braunschweig, kreisfreie Stadt;252962.0;19058.0;18257.0;32250.0;29131.0;42136.0;40307.0;20381.0;22862.0;11345.0;17235.0;61381.0;54662.0
03102;Salzgitter, kreisfreie Stadt;104970.0;9985.0;9481.0;11057.0;9402.0;17135.0;16050.0;9626.0;10321.0;4899.0;7014.0;20459.0;23993.0
03103;Wolfsburg, kreisfreie Stadt;129560.0;12170.0;10932.0;13348.0;12196.0;22014.0;21019.0;11121.0;12021.0;6101.0;8638.0;25544.0;28708.0
03151;Gifhorn, Landkreis;175943.0;16808.0;16125.0;15157.0;13779.0;29902.0;29922.0;18026.0;18550.0;7526.0;10148.0;28936.0;39174.0
03152;Gï¿½ttingen, Landkreis (bis 31.10.2016);0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
03153;Goslar, Landkreis;126775.0;9246.0;8490.0;11915.0;10076.0;20009.0;20080.0;13848.0;14760.0;7476.0;10875.0;21991.0;36081.0
03154;Helmstedt, Landkreis;90227.0;7667.0;7271.0;7743.0;6803.0;15485.0;15222.0;9533.0;9873.0;4325.0;6305.0;14546.0;22311.0
03155;Northeim, Landkreis;125623.0;9925.0;9539.0;10944.0;9812.0;20021.0;20165.0;14167.0;14734.0;6977.0;9339.0;20756.0;34000.0
03156;Osterode am Harz, Landkreis (bis 31.10.2016);0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
03157;Peine, Landkreis;137045.0;12694.0;12379.0;12408.0;11139.0;23447.0;23247.0;13178.0;13740.0;6252.0;8561.0;23547.0;30743.0
03158;Wolfenbï¿½ttel, Landkreis;118290.0;10029.0;9210.0;10468.0;9230.0;19620.0;19954.0;12204.0;12768.0;6232.0;8575.0;19698.0;29729.0
03159;Gï¿½ttingen, Landkreis;328028.0;25535.0;24059.0;36413.0;34705.0;50791.0;50766.0;32040.0;34198.0;16567.0;22954.0;71118.0;79881.0
03201;Hannover, kreisfreie Stadt (bis 31.10.2001);0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
03241;Region Hannover, Landkreis;1140888.0;97264.0;92077.0;123896.0;115933.0;188678.0;190054.0;98335.0;106823.0;51262.0;76566.0;239829.0;249770.0
03251;Diepholz, Landkreis;221202.0;19320.0;18611.0;20272.0;18443.0;36735.0;36870.0;22414.0;23057.0;10749.0;14731.0;38715.0;52622.0
03252;Hameln-Pyrmont, Landkreis;150203.0;12558.0;12037.0;13601.0;12277.0;23628.0;24122.0;15394.0;16810.0;7898.0;11878.0;25878.0;39286.0
03253;Hannover, Landkreis (bis 31.10.2001);0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
03254;Hildesheim, Landkreis;267506.0;21921.0;20910.0;26120.0;25258.0;43130.0;43262.0;26469.0;28119.0;13109.0;19208.0;51378.0;65097.0
03255;Holzminden, Landkreis;65581.0;5145.0;5187.0;6053.0;5130.0;10370.0;10153.0;7234.0;7460.0;3882.0;4967.0;11183.0;17884.0
03256;Nienburg (Weser), Landkreis;121468.0;10629.0;10327.0;11232.0;10374.0;19999.0;19571.0;12748.0;13172.0;5474.0;7942.0;21606.0;28805.0
